"","date","yoshida","subashiri","gotemba","fujinomiya"
"1",2018-07-01,1915,NA,NA,NA
"2",2018-07-02,1298,NA,NA,NA
"3",2018-07-03,1280,NA,NA,NA
"4",2018-07-04,235,NA,NA,NA
"5",2018-07-05,90,NA,NA,NA
"6",2018-07-06,280,NA,NA,NA
"7",2018-07-07,1527,NA,NA,NA
"8",2018-07-08,2214,NA,NA,NA
"9",2018-07-09,1391,NA,NA,NA
"10",2018-07-10,1336,444,228,431
"11",2018-07-11,1127,269,181,184
"12",2018-07-12,682,522,134,158
"13",2018-07-13,1981,281,214,611
"14",2018-07-14,4332,736,435,1507
"15",2018-07-15,4449,965,482,1760
"16",2018-07-16,2442,347,218,580
"17",2018-07-17,1558,171,119,348
"18",2018-07-18,1644,515,119,431
"19",2018-07-19,1539,548,107,404
"20",2018-07-20,2073,301,159,601
"21",2018-07-21,3691,679,384,1445
"22",2018-07-22,2485,592,380,1035
"23",2018-07-23,2144,283,157,657
"24",2018-07-24,1776,375,167,531
"25",2018-07-25,1786,414,102,592
"26",2018-07-26,2073,391,133,522
"27",2018-07-27,3311,305,212,627
"28",2018-07-28,74,15,5,18
"29",2018-07-29,1119,408,36,127
"30",2018-07-30,2227,388,NA,231
"31",2018-07-31,1640,254,NA,280
"32",2018-08-01,2116,341,NA,275
"33",2018-08-02,2390,286,NA,283
"34",2018-08-03,2718,508,18,455
"35",2018-08-04,4864,906,429,1037
"36",2018-08-05,3055,825,985,533
"37",2018-08-06,2526,375,272,226
"38",2018-08-07,1611,575,264,136
"39",2018-08-08,118,18,2,5
"40",2018-08-09,1304,249,98,97
"41",2018-08-10,2687,630,292,283
"42",2018-08-11,3752,894,542,670
"43",2018-08-12,4515,823,398,840
"44",2018-08-13,4023,917,368,908
"45",2018-08-14,3739,759,379,NA
"46",2018-08-15,3066,603,224,NA
"47",2018-08-16,2097,251,20,NA
"48",2018-08-17,2872,452,258,NA
"49",2018-08-18,4285,759,422,NA
"50",2018-08-19,3236,621,371,NA
"51",2018-08-20,1738,495,99,NA
"52",2018-08-21,2001,237,56,NA
"53",2018-08-22,2137,293,132,NA
"54",2018-08-23,415,110,35,NA
"55",2018-08-24,16,NA,51,NA
"56",2018-08-25,3919,609,149,NA
"57",2018-08-26,3445,727,435,NA
"58",2018-08-27,2556,389,328,NA
"59",2018-08-28,1986,230,163,NA
"60",2018-08-29,2016,247,312,NA
"61",2018-08-30,2241,288,189,NA
"62",2018-08-31,2294,276,145,NA
"63",2019-07-01,636,NA,NA,NA
"64",2019-07-02,366,NA,NA,NA
"65",2019-07-03,713,NA,NA,NA
"66",2019-07-04,226,NA,NA,NA
"67",2019-07-05,1001,NA,NA,NA
"68",2019-07-06,817,NA,NA,NA
"69",2019-07-07,443,NA,NA,NA
"70",2019-07-08,970,NA,NA,NA
"71",2019-07-09,1333,NA,NA,NA
"72",2019-07-10,1592,114,352,778
"73",2019-07-11,1366,118,106,320
"74",2019-07-12,1369,165,77,600
"75",2019-07-13,3239,459,382,1625
"76",2019-07-14,2060,243,22,488
"77",2019-07-15,2053,195,27,451
"78",2019-07-16,1628,139,21,364
"79",2019-07-17,1626,335,323,451
"80",2019-07-18,1315,498,80,406
"81",2019-07-19,1579,152,39,502
"82",2019-07-20,2777,449,207,1326
"83",2019-07-21,2175,425,295,1248
"84",2019-07-22,1599,232,95,570
"85",2019-07-23,1846,100,367,435
"86",2019-07-24,1939,220,312,838
"87",2019-07-25,2652,304,273,1343
"88",2019-07-26,2779,241,91,1163
"89",2019-07-27,530,17,156,947
"90",2019-07-28,2076,316,184,1440
"91",2019-07-29,2518,250,318,1492
"92",2019-07-30,2478,507,257,1860
"93",2019-07-31,2277,218,239,1263
"94",2019-08-01,2472,282,227,1154
"95",2019-08-02,2774,396,188,1074
"96",2019-08-03,4538,753,360,2203
"97",2019-08-04,3028,634,791,1356
"98",2019-08-05,2555,402,190,821
"99",2019-08-06,2725,414,164,782
"100",2019-08-07,2237,294,197,619
"101",2019-08-08,2233,373,133,676
"102",2019-08-09,2577,403,173,749
"103",2019-08-10,4133,675,343,1633
"104",2019-08-11,5033,1021,417,2272
"105",2019-08-12,4686,651,313,2230
"106",2019-08-13,3613,586,227,1591
"107",2019-08-14,836,121,7,320
"108",2019-08-15,37,NA,NA,12
"109",2019-08-16,1361,54,NA,126
"110",2019-08-17,4070,733,434,1728
"111",2019-08-18,2734,400,347,1007
"112",2019-08-19,2232,184,227,496
"113",2019-08-20,2140,229,153,557
"114",2019-08-21,1900,198,148,486
"115",2019-08-22,2124,267,180,500
"116",2019-08-23,1957,211,37,264
"117",2019-08-24,3727,648,307,1516
"118",2019-08-25,3228,545,420,1181
"119",2019-08-26,2537,313,289,749
"120",2019-08-27,2077,188,149,575
"121",2019-08-28,255,31,9,23
"122",2019-08-29,1553,216,34,240
"123",2019-08-30,1311,89,2,26
"124",2019-08-31,3242,435,56,343
"125",2023-07-01,1011,NA,NA,NA
"126",2023-07-02,2661,NA,NA,NA
"127",2023-07-03,1311,NA,NA,NA
"128",2023-07-04,1241,NA,NA,NA
"129",2023-07-05,1076,NA,NA,NA
"130",2023-07-06,1370,NA,NA,NA
"131",2023-07-07,1891,NA,NA,NA
"132",2023-07-08,1067,NA,NA,NA
"133",2023-07-09,1369,NA,NA,NA
"134",2023-07-10,1501,254,76,463
"135",2023-07-11,1672,322,132,455
"136",2023-07-12,1582,292,102,455
"137",2023-07-13,1332,412,56,356
"138",2023-07-14,1820,485,127,635
"139",2023-07-15,3117,382,269,1268
"140",2023-07-16,3974,599,788,1860
"141",2023-07-17,2088,280,408,959
"142",2023-07-18,1458,206,193,709
"143",2023-07-19,1497,205,108,414
"144",2023-07-20,1181,292,314,561
"145",2023-07-21,1808,216,350,796
"146",2023-07-22,2665,361,470,1349
"147",2023-07-23,2239,421,401,1260
"148",2023-07-24,1912,255,290,808
"149",2023-07-25,1772,244,201,685
"150",2023-07-26,1803,286,212,910
"151",2023-07-27,2061,232,277,854
"152",2023-07-28,2834,340,308,1025
"153",2023-07-29,3558,496,506,1741
"154",2023-07-30,2447,489,387,1097
"155",2023-07-31,1987,277,193,677
"156",2023-08-01,1541,216,149,590
"157",2023-08-02,1964,297,215,751
"158",2023-08-03,1900,255,218,679
"159",2023-08-04,2361,332,294,1002
"160",2023-08-05,3237,470,435,1496
"161",2023-08-06,1812,417,1011,933
"162",2023-08-07,1617,204,166,436
"163",2023-08-08,1190,212,273,416
"164",2023-08-09,1185,139,20,205
"165",2023-08-10,2170,224,126,632
"166",2023-08-11,3149,435,427,1217
"167",2023-08-12,3769,542,468,1626
"168",2023-08-13,1621,267,209,778
"169",2023-08-14,184,61,101,102
"170",2023-08-15,43,15,20,5
"171",2023-08-16,1315,113,60,149
"172",2023-08-17,2301,299,215,1129
"173",2023-08-18,2458,328,361,1303
"174",2023-08-19,2516,381,396,1205
"175",2023-08-20,2075,259,243,935
"176",2023-08-21,1961,286,214,807
"177",2023-08-22,1720,232,198,717
"178",2023-08-23,1563,198,56,459
"179",2023-08-24,1827,283,149,610
"180",2023-08-25,2316,317,211,881
"181",2023-08-26,2622,298,408,1236
"182",2023-08-27,2240,313,322,1086
"183",2023-08-28,1960,348,261,707
"184",2023-08-29,1793,358,209,790
"185",2023-08-30,1873,293,176,652
"186",2023-08-31,1872,320,160,530
